,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
50,51,12404086,K00788.01,Kepler-681 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,26.39432897,176.05459,2455009.055,0.0,,0.602,3.573,,1510.9,0.03681,2.93923,LS+MCMC,3.07,0.1635,89.28,489.0,13.49,47.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1959,0.5086,q1_q17_dr25_koi,8.917681,41.269753,48.2,1,51.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2735,Mandel and Agol (2002 ApJ 580 171),,,012/012404/012404086/dv/kplr012404086-20160209194854_dvr.pdf,012/012404/012404086/dv/kplr012404086-001-20160209194854_dvs.pdf,5129.0,4.595,0.02,0.763,0.846,,q1_q17_dr25_stellar,289.39972,51.25032,15.234,15.956,15.16,14.924,14.816,13.757,13.272,13.172,0.592,19.2933174,51.250533,0.09,0.77,0.00037,3e-05,-0.18,0.2,0.27,-0.18,0.05,0.18
51,52,8395660,K00116.01,Kepler-106 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,13.57078281,136.279194,2454969.279,0.0,,0.866,3.3539,,511.7,0.023908,0.49865,LS+MCMC,2.64,0.1096,87.07,785.0,89.61,16.93,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,18.771214,76.76887,88.4,4,101.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6645,Mandel and Agol (2002 ApJ 580 171),,,008/008395/008395660/dv/kplr008395660-20160209194854_dvr.pdf,008/008395/008395660/dv/kplr008395660-001-20160209194854_dvs.pdf,5854.0,4.406,-0.12,1.012,0.951,,q1_q17_dr25_stellar,300.86398,44.337551,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,0.044,20.0576138,44.337549,0.61,0.0,-4.4e-05,0.000108,0.26,0.02,0.26,0.37,0.19,0.41
52,53,9579641,K00115.02,Kepler-105 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.12594387,139.00492,2454972.005,0.0,,0.898,3.0014,,192.4,0.01512,0.23879,LS+MCMC,1.79,0.0711,84.02,997.0,233.31,8.62,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,6.1814723,39.793564,47.1,3,181.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.7788,Mandel and Agol (2002 ApJ 580 171),,,009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf,009/009579/009579641/dv/kplr009579641-002-20160209194854_dvs.pdf,5779.0,4.339,-0.06,1.087,0.941,,q1_q17_dr25_stellar,287.88733,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.009,19.1924958,46.276037,0.29,-0.73,-6.9e-05,6.1e-05,0.03,0.04,0.06,-0.09,-0.21,0.23
54,55,11754553,K00775.01,Kepler-52 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.38489988,172.72782,2455005.728,0.0,,0.001,3.0249,,1127.1,0.029758,5.4538,LS+MCMC,2.0,0.1084,90.0,433.0,8.35,42.62,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0718,0.6834,q1_q17_dr25_koi,6.419572,28.122635,28.9,3,65.0,2.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.7202,Mandel and Agol (2002 ApJ 580 171),,,011/011754/011754553/dv/kplr011754553-20160209194854_dvr.pdf,011/011754/011754553/dv/kplr011754553-002-20160209194854_dvs.pdf,4126.0,4.661,0.04,0.615,0.633,,q1_q17_dr25_stellar,286.73804,49.97575,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36,0.204,19.11585,49.97583,-0.67,0.28,0.0006,-3e-05,0.02,-0.02,0.03,-0.07,0.15,0.17
55,56,11754553,K00775.02,Kepler-52 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.8774163,176.3759,2455009.376,0.0,,0.041,2.0805,,1306.1,0.03209,8.09685,LS+MCMC,2.16,0.0665,89.92,553.0,22.18,29.84,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0718,0.6834,q1_q17_dr25_koi,10.036489,41.450657,38.7,3,135.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.5008,Mandel and Agol (2002 ApJ 580 171),,,011/011754/011754553/dv/kplr011754553-20160209194854_dvr.pdf,011/011754/011754553/dv/kplr011754553-001-20160209194854_dvs.pdf,4126.0,4.661,0.04,0.615,0.633,,q1_q17_dr25_stellar,286.73804,49.97575,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36,0.588,19.1158594,49.975824,-0.34,0.27,0.00032,-2e-05,0.06,-0.03,0.07,-0.02,0.16,0.16
56,57,11754553,K00775.03,Kepler-52 d,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,36.4454001,151.60125,2454984.601,0.0,,0.028,4.007,,1122.3,0.029681,5.21237,LS+MCMC,1.99,0.1847,89.98,332.0,2.88,71.53,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0718,0.6834,q1_q17_dr25_koi,5.9903665,19.803268,21.7,3,27.0,3.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.6219,Mandel and Agol (2002 ApJ 580 171),,,011/011754/011754553/dv/kplr011754553-20160209194854_dvr.pdf,011/011754/011754553/dv/kplr011754553-003-20160209194854_dvs.pdf,4126.0,4.661,0.04,0.615,0.633,,q1_q17_dr25_stellar,286.73804,49.97575,15.095,16.328,15.068,14.567,14.305,13.153,12.507,12.36,0.01,19.11587,49.97559,0.04,-0.58,-0.00014,0.00084,-0.01,0.17,0.17,-0.07,0.36,0.36
57,58,11812062,K00776.01,Kepler-673 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.728732147,171.793255,2455004.793,0.0,,0.558,2.683,,5226.5,0.068178,1.24118,LS+MCMC,6.02,0.0455,86.7,1023.0,258.34,9.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2396,0.4415,q1_q17_dr25_koi,28.264866,360.1958,345.2,1,357.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6769,Mandel and Agol (2002 ApJ 580 171),,,011/011812/011812062/dv/kplr011812062-20160209194854_dvr.pdf,011/011812/011812062/dv/kplr011812062-001-20160209194854_dvs.pdf,5497.0,4.577,-0.1,0.809,0.907,,q1_q17_dr25_stellar,290.78574,50.054119,15.523,16.107,15.461,15.273,15.177,14.179,13.825,13.669,0.0,19.3857191,50.05406,0.083,-0.217,0.00057,-0.00136,-0.072,0.041,0.083,0.033,-0.117,0.122
58,59,11818800,K00777.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.999,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,40.4195037,173.56469,2455006.565,0.0,,0.911,3.362,,6256.0,0.088069,1.89549,LS+MCMC,7.51,0.2062,89.05,467.0,11.29,54.7,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,q1_q17_dr25_koi,22.598503,94.071846,36.9,1,36.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8482,Mandel and Agol (2002 ApJ 580 171),,,011/011818/011818800/dv/kplr011818800-20160209194854_dvr.pdf,011/011818/011818800/dv/kplr011818800-001-20160209194854_dvs.pdf,5446.0,4.507,-0.54,0.781,0.714,,q1_q17_dr25_stellar,294.31686,50.080231,15.487,16.1,15.463,15.224,15.091,14.029,13.631,13.491,0.027,19.6211267,50.080316,0.09,0.31,0.0006,-0.0011,-0.025,0.051,0.057,-0.049,-0.021,0.053
59,60,11853255,K00778.01,Kepler-674 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,2.243380573,170.679233,2455003.679,0.0,,0.915,1.1196,,821.7,0.032248,1.50915,LS+MCMC,1.99,0.028,82.88,822.0,107.6,7.38,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1171,0.6215,q1_q17_dr25_koi,4.251499,30.578562,38.9,1,472.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.5576,Mandel and Agol (2002 ApJ 580 171),,,011/011853/011853255/dv/kplr011853255-20160209194854_dvr.pdf,011/011853/011853255/dv/kplr011853255-001-20160209194854_dvs.pdf,4149.0,4.698,-0.32,0.564,0.578,,q1_q17_dr25_stellar,285.17621,50.149818,15.135,16.369,15.11,14.607,14.322,13.213,12.521,12.394,0.0,19.0117449,50.14995,-0.06,0.46,-0.00024,-0.00057,0.19,0.27,0.33,0.05,-0.06,0.08
61,62,11918099,K00780.01,Kepler-675 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.337437946,171.761982,2455004.762,0.0,,0.28,1.9982,,971.2,0.027998,2.41093,LS+MCMC,2.34,0.0325,88.19,1070.0,311.16,8.86,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,q1_q17_dr25_koi,6.0310416,63.58795,82.4,2,578.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6818,Mandel and Agol (2002 ApJ 580 171),,,011/011918/011918099/dv/kplr011918099-20160209194854_dvr.pdf,011/011918/011918099/dv/kplr011918099-001-20160209194854_dvs.pdf,5005.0,4.595,0.14,0.765,0.85,,q1_q17_dr25_stellar,293.83331,50.23035,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195,0.0,19.5888925,50.230226,0.16,-0.45,6e-05,0.00045,0.027,0.05,0.061,0.357,0.2,0.41
62,63,11918099,K00780.02,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.993,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.2406612,137.75545,2454970.755,0.0,,1.198,0.558,,556.4,0.232818,8.66412,LS+MCMC,19.45,0.0692,87.62,734.0,68.63,28.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1496,0.5746,q1_q17_dr25_koi,3.2751372,9.1666,13.7,2,168.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4049,Mandel and Agol (2002 ApJ 580 171),,,011/011918/011918099/dv/kplr011918099-20160209194854_dvr.pdf,011/011918/011918099/dv/kplr011918099-002-20160209194854_dvs.pdf,5005.0,4.595,0.14,0.765,0.85,,q1_q17_dr25_stellar,293.83331,50.23035,15.334,16.11,15.283,15.001,14.882,13.81,13.3,13.195,0.058,19.588885,50.22996,-0.1,-1.4,0.00016,0.00075,-0.51,-0.49,0.71,0.08,-0.38,0.39
63,64,9579641,K00115.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.871,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.43591631,132.6624,2454965.662,0.0,,0.624,3.133,,23.2,0.004612,0.47024,LS+MCMC,0.55,0.0437,84.62,1272.0,617.61,6.65,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,3.8943021,7.4337807,8.7,3,357.0,3.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0228,Mandel and Agol (2002 ApJ 580 171),,,009/009579/009579641/dv/kplr009579641-20160209194854_dvr.pdf,009/009579/009579641/dv/kplr009579641-003-20160209194854_dvs.pdf,5779.0,4.339,-0.06,1.087,0.941,,q1_q17_dr25_stellar,287.88733,46.276241,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,0.858,19.192473,46.27616,-0.6,-0.3,1.2e-05,-3e-06,0.01,-0.05,0.05,-0.11,-0.3,0.3
64,65,11923270,K00781.01,Kepler-676 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,11.59822233,180.395376,2455013.395,0.0,,0.679,2.5237,,2804.5,0.051287,3.14915,LS+MCMC,2.65,0.0798,88.62,396.0,5.82,28.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3872,0.3156,q1_q17_dr25_koi,11.461336,62.376225,71.0,1,115.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6552,Mandel and Agol (2002 ApJ 580 171),,,011/011923/011923270/dv/kplr011923270-20160209194854_dvr.pdf,011/011923/011923270/dv/kplr011923270-001-20160209194854_dvs.pdf,3688.0,4.79,0.0,0.473,0.503,,q1_q17_dr25_stellar,296.22195,50.28722,15.937,17.501,16.14,15.267,14.795,13.474,12.813,12.628,0.178,19.7481495,50.287475,0.63,0.92,-0.00029,0.0006,0.059,-0.03,0.066,0.29,0.628,0.69
65,66,11960862,K00782.01,Kepler-677 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.575315881,173.634044,2455006.634,0.0,,0.39,4.3084,,2793.3,0.049152,0.64392,LS+MCMC,5.31,0.067,88.03,1015.0,251.38,11.37,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2965,0.3342,q1_q17_dr25_koi,20.537346,210.22159,221.1,1,205.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.5611,Mandel and Agol (2002 ApJ 580 171),,,011/011960/011960862/dv/kplr011960862-20160209194854_dvr.pdf,011/011960/011960862/dv/kplr011960862-001-20160209194854_dvs.pdf,5992.0,4.415,-0.32,0.989,0.927,,q1_q17_dr25_stellar,290.09805,50.321609,15.312,15.797,15.275,15.104,15.03,14.071,13.793,13.686,0.013,19.3398711,50.321582,0.016,-0.099,0.00044,-7e-05,-0.033,-0.04,0.052,-0.009,-0.181,0.181
66,67,12020329,K00783.01,Kepler-678 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.275040844,169.994217,2455002.994,0.0,,0.547,7.5377,,3001.0,0.051358,0.10578,LS+MCMC,4.86,0.0732,85.29,833.0,113.64,6.66,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.224,0.4695,q1_q17_dr25_koi,24.639503,234.95987,312.1,1,188.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.1322,Mandel and Agol (2002 ApJ 580 171),,,012/012020/012020329/dv/kplr012020329-20160209194854_dvr.pdf,012/012020/012020329/dv/kplr012020329-001-20160209194854_dvs.pdf,5485.0,4.556,0.21,0.867,0.986,,q1_q17_dr25_stellar,295.45529,50.49456,15.08,15.69,14.996,14.819,14.745,13.732,13.402,13.26,0.0,19.6970261,50.49465,0.234,0.323,0.00066,0.00064,-0.054,-0.065,0.085,0.008,-0.134,0.134
67,68,12066335,K00784.01,Kepler-231 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,19.27153892,186.77093,2455019.771,0.0,,0.031,2.7594,,1219.8,0.031585,8.48241,LS+MCMC,1.93,0.1171,89.97,393.0,5.66,55.02,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2589,0.4639,q1_q17_dr25_koi,6.437265,28.490973,37.1,2,67.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8388,Mandel and Agol (2002 ApJ 580 171),,,012/012066/012066335/dv/kplr012066335-20160209194854_dvr.pdf,012/012066/012066335/dv/kplr012066335-001-20160209194854_dvs.pdf,4077.0,4.702,-0.24,0.56,0.576,,q1_q17_dr25_stellar,293.97336,50.53191,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589,0.0,19.598247,50.53192,0.78,0.05,-0.00076,0.00145,0.2,-0.17,0.26,0.28,-0.23,0.36
68,69,12066335,K00784.02,Kepler-231 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,10.06524317,136.28906,2454969.289,0.0,,0.628,1.369,,1053.3,0.031153,18.09666,LS+MCMC,1.91,0.076,89.22,488.0,13.43,45.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2589,0.4639,q1_q17_dr25_koi,5.446764,21.658537,30.3,2,126.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0088,Mandel and Agol (2002 ApJ 580 171),,,012/012066/012066335/dv/kplr012066335-20160209194854_dvr.pdf,012/012066/012066335/dv/kplr012066335-002-20160209194854_dvs.pdf,4077.0,4.702,-0.24,0.56,0.576,,q1_q17_dr25_stellar,293.97336,50.53191,15.385,16.618,15.383,14.857,14.592,13.405,12.775,12.589,0.0,19.598212,50.53192,-0.42,0.02,0.00053,0.00116,0.11,-0.23,0.25,0.17,-0.23,0.28
69,70,12070811,K00785.01,Kepler-679 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,12.3935651,178.74725,2455011.747,0.0,,0.883,3.8896,,916.6,0.032536,0.27483,LS+MCMC,2.66,0.0983,86.13,677.0,49.68,13.07,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2665,0.398,q1_q17_dr25_koi,5.6057496,31.608551,35.8,1,107.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8571,Mandel and Agol (2002 ApJ 580 171),,,012/012070/012070811/dv/kplr012070811-20160209194854_dvr.pdf,012/012070/012070811/dv/kplr012070811-001-20160209194854_dvs.pdf,5557.0,4.603,-0.4,0.75,0.832,,q1_q17_dr25_stellar,296.02133,50.56778,15.505,16.079,15.474,15.258,15.177,14.196,13.783,13.692,0.758,19.73476,50.56789,0.13,0.39,0.00019,0.00011,-0.17,-0.04,0.17,-0.16,0.09,0.18
70,71,8395660,K00116.02,Kepler-106 e,CONFIRMED,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,43.84439721,151.93538,2454984.935,0.0,,0.852,6.802,,615.2,0.025934,0.22039,LS+MCMC,2.87,0.2395,88.27,531.0,18.77,28.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,16.554466,65.59482,83.7,4,29.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9647,Mandel and Agol (2002 ApJ 580 171),,,008/008395/008395660/dv/kplr008395660-20160209194854_dvr.pdf,008/008395/008395660/dv/kplr008395660-002-20160209194854_dvs.pdf,5854.0,4.406,-0.12,1.012,0.951,,q1_q17_dr25_stellar,300.86398,44.337551,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,0.012,20.057603,44.337553,0.19,0.01,0.0002,0.00012,0.12,-0.2,0.23,0.21,-0.03,0.22
73,74,3342970,K00800.01,Kepler-234 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.711504086,170.03417,2455003.034,0.0,,0.023,3.0099,,837.5,0.026533,0.91618,LS+MCMC,3.12,0.0401,89.81,1420.0,960.79,7.088,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3024,0.3288,q1_q17_dr25_koi,6.3430967,48.726124,64.5,2,494.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.228,Mandel and Agol (2002 ApJ 580 171),,,003/003342/003342970/dv/kplr003342970-20160209194854_dvr.pdf,003/003342/003342970/dv/kplr003342970-001-20160209194854_dvs.pdf,6214.0,4.442,0.07,1.076,1.169,,q1_q17_dr25_stellar,291.65353,38.494659,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065,0.0,19.4435779,38.494748,0.42,0.32,-0.00037,-0.0003,-0.02,0.05,0.05,0.02,0.1,0.104
74,75,3342970,K00800.02,Kepler-234 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.21203748,172.81782,2455005.818,0.0,,0.012,4.0491,,950.4,0.028255,0.99867,LS+MCMC,3.32,0.077,89.95,1025.0,260.58,14.003,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3024,0.3288,q1_q17_dr25_koi,6.1683164,40.04205,51.5,2,165.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3431,Mandel and Agol (2002 ApJ 580 171),,,003/003342/003342970/dv/kplr003342970-20160209194854_dvr.pdf,003/003342/003342970/dv/kplr003342970-002-20160209194854_dvs.pdf,6214.0,4.442,0.07,1.076,1.169,,q1_q17_dr25_stellar,291.65353,38.494659,15.541,16.007,15.483,15.341,15.262,14.387,14.104,14.065,0.0,19.4435697,38.494886,0.07,0.81,-0.00011,-0.00083,0.05,0.07,0.09,0.07,0.19,0.2
76,77,12470844,K00790.01,Kepler-233 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.47237911,174.16212,2455007.162,0.0,,0.022,2.7245,,1123.5,0.030119,3.86328,LS+MCMC,2.59,0.0778,89.95,751.0,75.44,24.47,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2043,0.4966,q1_q17_dr25_koi,5.7419868,39.867977,47.6,2,159.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9241,Mandel and Agol (2002 ApJ 580 171),,,012/012470/012470844/dv/kplr012470844-20160209194854_dvr.pdf,012/012470/012470844/dv/kplr012470844-001-20160209194854_dvs.pdf,5354.0,4.587,-0.08,0.788,0.884,,q1_q17_dr25_stellar,296.36652,51.319519,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453,0.046,19.7578029,51.31958,1.18,0.22,-0.00048,0.00037,-0.148,0.09,0.17,-0.097,0.04,0.106
77,78,12470844,K00790.02,Kepler-233 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.989,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,60.4189369,181.16367,2455014.164,0.0,,0.094,5.039,,931.3,0.027422,4.26444,LS+MCMC,2.36,0.2884,89.94,390.0,5.49,93.71,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2043,0.4966,q1_q17_dr25_koi,6.335456,15.139797,20.1,2,22.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6244,Mandel and Agol (2002 ApJ 580 171),,,012/012470/012470844/dv/kplr012470844-20160209194854_dvr.pdf,012/012470/012470844/dv/kplr012470844-002-20160209194854_dvs.pdf,5354.0,4.587,-0.08,0.788,0.884,,q1_q17_dr25_stellar,296.36652,51.319519,15.339,15.945,15.271,15.079,14.978,14.006,13.555,13.453,0.424,19.757766,51.31959,-0.06,0.26,0.0007,0.00025,0.0,0.53,0.53,0.09,0.46,0.46
78,79,12644822,K00791.01,Kepler-682 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,12.611904345,180.892284,2455013.892,0.0,,0.55,5.1497,,6105.6,0.073758,0.61222,LS+MCMC,7.4,0.1058,88.17,753.0,76.15,17.27,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,31.536423,207.6196,277.2,1,104.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0586,Mandel and Agol (2002 ApJ 580 171),,,012/012644/012644822/dv/kplr012644822-20160209194854_dvr.pdf,012/012644/012644822/dv/kplr012644822-001-20160209194854_dvs.pdf,5795.0,4.508,-0.02,0.919,0.992,,q1_q17_dr25_stellar,289.11221,51.737381,15.14,15.659,15.072,14.918,14.825,13.942,13.546,13.478,0.0,19.2741411,51.737685,-0.232,1.099,0.00117,0.00148,-0.065,-0.058,0.087,-0.033,-0.017,0.037
81,82,2713049,K00794.01,Kepler-683 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.539183147,169.67494,2455002.675,0.0,,0.238,2.4282,,382.1,0.017724,1.46261,LS+MCMC,2.06,0.0355,88.28,1332.0,743.09,7.93,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2291,0.4603,q1_q17_dr25_koi,4.680462,34.037075,38.9,1,528.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2119,Mandel and Agol (2002 ApJ 580 171),,,002/002713/002713049/dv/kplr002713049-20160209194854_dvr.pdf,002/002713/002713049/dv/kplr002713049-001-20160209194854_dvs.pdf,5519.0,4.35,0.14,1.062,0.921,,q1_q17_dr25_stellar,291.43997,37.905659,15.026,15.535,14.987,14.808,14.762,13.812,13.465,13.358,0.085,19.4293279,37.90564,-0.18,-0.06,3e-05,-0.00019,0.15,0.21,0.26,0.1,0.25,0.26
82,83,3114167,K00795.01,Kepler-684 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.770300385,170.57662,2455003.577,0.0,,0.838,2.0844,,1304.0,0.037414,1.45164,LS+MCMC,2.77,0.064,86.84,812.0,102.87,15.21,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.308,0.3117,q1_q17_dr25_koi,6.5691905,43.840405,50.8,1,200.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9274,Mandel and Agol (2002 ApJ 580 171),,,003/003114/003114167/dv/kplr003114167-20160209194854_dvr.pdf,003/003114/003114167/dv/kplr003114167-001-20160209194854_dvs.pdf,5653.0,4.656,-0.84,0.679,0.767,,q1_q17_dr25_stellar,290.87051,38.273628,15.591,16.126,15.562,15.362,15.258,14.318,13.91,13.828,0.005,19.3913608,38.273428,-0.31,-0.73,0.0002,0.00057,0.09,0.065,0.11,0.05,-0.018,0.05
